px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.85372	-10.2952	-2.7327	1.87633	-0.19649	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.454461
9.87435	-10.4381	-2.7399	1.85154	-0.210214	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0.087551
9.91818	-10.5792	-2.7658	1.85598	-0.180892	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0.682853
9.9447	-10.734	-2.77151	1.83496	-0.190859	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0.0527636
9.92108	-10.8899	-2.71054	1.7599	-0.280925	9.88465	-10.9383	9.85	-10.9	0	-2.73074	1.26134
9.93322	-11.0427	-2.71528	1.73459	-0.289771	9.83614	-11.041	9.85	-11.05	0	-2.73073	0.0552959
9.94401	-11.1781	-2.71919	1.71579	-0.291585	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.0823299
9.94581	-11.3221	-2.72739	1.68969	-0.301524	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0.0612256
9.95518	-11.4678	-2.74282	1.6728	-0.29858	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.0707521
9.94984	-11.6136	-2.75172	1.64592	-0.308721	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0.0817458
9.81048	-11.7638	-2.64448	1.45796	-0.563001	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	7.71284
9.79076	-11.8921	-2.64279	1.42865	-0.564166	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.025542
9.77071	-12.0176	-2.64232	1.4066	-0.553138	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.0842382
9.73615	-12.1515	-2.64812	1.37251	-0.558155	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0.0404352
9.63863	-12.2917	-2.63844	1.25552	-0.691138	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	1.84381
9.59312	-12.4126	-2.63595	1.21992	-0.692275	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0.0393611
9.42234	-12.5291	-2.63449	1.03814	-0.909818	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	3.20307
9.35722	-12.6337	-2.62681	0.994795	-0.908986	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0.0432223
9.29442	-12.7481	-2.61581	0.963781	-0.883284	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.0353295
